jobtitle,satisfied,not_satisfied
Head (trade/mediation),557,78
Account/Sales Manager,347,77
Head of Department,200,37
Accountant,149,18
Marketing/Advertising Director,130,30
HR manager,119,27
Businessman,92,19
Chief Executive Officer (CEO),86,15
Economist,62,37
Lawyer,72,21
Foreman (manufacturing),59,19
Office Manager,47,27
Consultant,41,19
Logistics Manager,45,11
Analyst,40,14
Head (medicine/education),49,5
General director,48,5
Retail Associate,35,13
IT manager,39,9
Head (engineering/manufacturing),37,11
Administrator of the trading floor,38,9
System administrator,32,10
Commercial Director,40,1
Wholesale Manager,31,8
Operator (electrical appliances/mechanisms),24,14
Secretary,28,10
Programmer,30,6
Sales Agent (real estate/insurance),26,8
Teacher,27,7
Chief Financial Officer,29,2
Designer,25,4
Regional Manager,21,6
Director of Development,24,2
Head (Finance/Law),21,4
Director of Security,17,5
Staff trainer,20,2
Recruiter,16,4
Facility guard,13,6
Head (personnel/public administration),16,2
PR manager,13,2
Software Tester,11,2
Brand manager,13,0
Journalist,7,0