jobtitle,count
Account/Sales Manager,1342
Head (trade/mediation),1296
Marketing/Advertising Director,631
HR manager,619
Head of Department,619
Accountant,587
Economist,432
Businessman,373
Consultant,313
Office Manager,280
Lawyer,266
Designer,248
Chief Executive Officer (CEO),240
Analyst,205
Foreman (manufacturing),204
Teacher,200
Programmer,197
Staff trainer,194
Operator (electrical appliances/mechanisms),189
IT manager,186
General director,185
System administrator,169
Secretary,166
Logistics Manager,164
Retail Associate,151
Head (medicine/education),127
Head (engineering/manufacturing),125
Wholesale Manager,119
Administrator of the trading floor,118
Chief Financial Officer,98
Head (personnel/public administration),98
Commercial Director,96
PR manager,92
Director of Development,90
Head (Finance/Law),89
Sales Agent (real estate/insurance),86
Regional Manager,72
Recruiter,71
Journalist,67
Director of Security,58
Software Tester,54
Brand manager,52
Facility guard,51