jobtitle,percent_satisfied
Account/Sales Manager,0.6512667660208644
Accountant,0.7206132879045997
Administrator of the trading floor,0.6186440677966102
Analyst,0.6292682926829268
Brand manager,0.75
Businessman,0.806970509383378
Chief Executive Officer (CEO),0.8375
Chief Financial Officer,0.7346938775510204
Commercial Director,0.875
Consultant,0.6421725239616614
Designer,0.7862903225806451
Director of Development,0.8222222222222222
Director of Security,0.7241379310344828
Economist,0.5185185185185185
Facility guard,0.5686274509803921
Foreman (manufacturing),0.6911764705882353
General director,0.8162162162162162
HR manager,0.7334410339256866
Head (Finance/Law),0.8089887640449438
Head (engineering/manufacturing),0.768
Head (medicine/education),0.889763779527559
Head (personnel/public administration),0.826530612244898
Head (trade/mediation),0.8341049382716049
Head of Department,0.7302100161550888
IT manager,0.6559139784946236
Journalist,0.6268656716417911
Lawyer,0.5977443609022557
Logistics Manager,0.676829268292683
Marketing/Advertising Director,0.7480190174326465
Office Manager,0.5035714285714286
Operator (electrical appliances/mechanisms),0.4656084656084656
PR manager,0.7608695652173914
Programmer,0.7157360406091371
Recruiter,0.7323943661971831
Regional Manager,0.6527777777777778
Retail Associate,0.5033112582781457
Sales Agent (real estate/insurance),0.7790697674418605
Secretary,0.5903614457831325
Software Tester,0.6111111111111112
Staff trainer,0.8092783505154639
System administrator,0.650887573964497
Teacher,0.695
Wholesale Manager,0.5714285714285714